en,zh,note_zh,user
torch,n. 手電筒,n.手电筒；火炬；火把；<俚>纵火犯<br>v.纵火<br><br><i>1</i>. He turned on the <em><em>torch</em></em> to look for his keys.<br>他打开了手电筒，寻找钥匙。<br><i>2</i>. Shine your <em><em>torch</em></em> into the drawer.<br>你用手电筒照一下这抽屉里面。<br><i>3</i>. The <em><em>torch</em></em> flared in the darkness.<br>火炬在黑暗中闪光。<br><i>4</i>. His emblems are the spear and the burning <em><em>torch</em></em>.<br>他佩带的徽记是长矛和燃烧着的火炬。<br><i>5</i>. The rioters began to <em><em>torch</em></em> the buildings.<br>暴民开始放火烧楼。<br>,yuhui
softly,小聲,adv.柔和地；静静地；温柔地<br><br><i>1</i>. The room was <em><em>softly</em></em> lit by a lamp.<br>屋里点着一盏灯，光线很柔和。<br><i>2</i>. A musical bell <em><em>softly</em></em> sounded somewhere in the passageway.<br>走廊的某处响起轻柔悦耳的铃声。<br><i>3</i>. She murmured <em><em>softly</em></em> to the baby in her arms.<br>她对着怀里的孩子轻声低语。<br><i>4</i>. They look at each other with eyes <em><em>softly</em></em> aglow.<br>他们互相注视着对方，两人的眼睛都放出温柔的光芒。<br>,yuhui
evidence,n. 證據,"n.证据；证词；根据；迹象<br>v.证明；证实<br><br><i>1</i>. There wasn't enough <em><em>evidence</em></em> to prove his guilt.<br>没有充分的证据能证明他有罪。<br><i>2</i>. Evidence weighted against the defendant.<br>证词很不利于被告。<br><i>3</i>. It is a statement in conflict with other <em><em>evidence</em></em>.<br>这一陈述与其他证词不一致。<br><i>4</i>. Have you any <em><em>evidence</em></em> to support this statement?<br>你这种说法有根据吗?<br><i>5</i>. His answer <em><em>evidence</em></em>d a guilty conscience.<br>他的回答证明他良心有愧。<br>",yuhui
bend,v. 彎下,"v.弯曲；使弯曲；屈服；屈从；集中于<br>n.弯曲；弯道<br><br><i>1</i>. The branches bent in the wind.<br>树枝被风吹弯了。<br><i>2</i>. The branch bent but didn't break when the boy climbed along it.<br>那男孩爬上树枝时，树枝弯曲了，但是没有折断。<br><i>3</i>. They refused to <em><em>bend</em></em> to the hijackers' demands.<br>他们拒绝屈从于劫机者的要求。<br><i>4</i>. She can't <em><em>bend</em></em> him to her will.<br>她无法使他服从自己的意志。<br><i>5</i>. The stream takes a sudden <em><em>bend</em></em> to the east.<br>小溪突然转向东流。<br>",yuhui
handle,n. 把手,"v.处理；对待；操作；触；买卖<br>n.把手；柄<br><br><i>1</i>. I was impressed by her handling of the affair.<br>我觉得她对此事的处理很了不起。<br><i>2</i>. The speaker was roughly <em><em>handle</em></em>d by the mob.<br>演说者受到暴民的粗暴对待。<br><i>3</i>. He's not a very good teacher---he doesn't know how to <em><em>handle</em></em> children.<br>他不是一个好的老师---他不懂得如何对待孩子。<br><i>4</i>. He knows how to <em><em>handle</em></em> the machine.<br>他会操作这台机器。<br><i>5</i>. I turned the <em><em>handle</em></em> and opened the door.<br>我转了转拉手,把门打开。<br>",yuhui
join,v. 結合,"v.连接；加入；参与；和...一起<br><br><i>1</i>. The island is <em><em>join</em></em>ed to the mainland by a bridge.<br>岛上有座桥与大陆相连。<br><i>2</i>. The two estates <em><em>join</em></em> at the foot of the hill.<br>这两处房地产在山脚下相毗连。<br><i>3</i>. If you <em><em>join</em></em> the club, you must abide by its rules.<br>你参加这个俱乐部就得遵守其规章。<br><i>4</i>. He was asked many times to <em><em>join</em></em> the party, but he always kept his distance.<br>人家好几次要他参加那个政党，但他的反应总是很冷淡。<br>",yuhui
hole,n. 洞,n.洞；孔；穴；漏洞；困境<br>v.挖洞；掘坑；进洞<br><br><i>1</i>. There is a <em><em>hole</em></em> in my sock.<br>我的袜子上有个洞。<br><i>2</i>. The dog skins through the small <em><em>hole</em></em> in the wall.<br>那条狗勉强钻过小小的墙洞。<br><i>3</i>. He chiseled a <em><em>hole</em></em> in the door to fit a new lock.<br>他在门上凿了个孔，以便装一把新锁。<br><i>4</i>. The hunters blocked up the <em><em>hole</em></em> of the beast.<br>猎人堵住了兽穴。<br><i>5</i>. They will <em><em>hole</em></em> a tunnel through the mountain.<br>他们将穿山打隧道。<br>,yuhui
handkerchief,n. 手巾,n.手帕；方巾；围巾<br><br><i>1</i>. She was playing with her <em><em>handkerchief</em></em> all the while during the speech.<br>她在演讲时一直都在玩弄手帕。<br><i>2</i>. I polished my buttons with a <em><em>handkerchief</em></em>.<br>我用手帕把钮扣擦亮。<br><i>3</i>. She embroidered her initials on the <em><em>handkerchief</em></em>.<br>她把她姓名的起首字母绣在手帕上。<br><i>4</i>. I folded the <em><em>handkerchief</em></em> and put it in my pocket.<br>我折好手绢，放进口袋里。<br>,yuhui
untie,v. 解開,"v.解开；松开<br><br><i>1</i>. I tried to <em><em>untie</em></em> the string but failed.<br>我试图解开绳子，但没有成功。<br><i>2</i>. My dead fingers could not <em><em>untie</em></em> the knot.<br>我的手指麻木了，解不开结。<br><i>3</i>. I ask you to <em><em>untie</em></em> my hands, please.<br>请你松开我的手吧。<br>",yuhui
bush,n. 小樹叢,"n.灌木丛；矮树<br>v.丛生；(以灌木)标记、保护、支撑<br>Bush.<br>n.布什(姓氏)<br><br><i>1</i>. He scrabbled about in the <em><em>bush</em></em> for the ball.<br>他在灌木丛中爬着到处找球。<br><i>2</i>. The rabbit started from the <em><em>bush</em></em>.<br>野兔从灌木丛中突然窜了出来。<br><i>3</i>. There is some ice in the <em><em>bush</em></em>.<br>树丛里有些冰。<br><i>4</i>. With a few quick snips of the shears he pruned the <em><em>bush</em></em>.<br>他用大剪刀几下子就把灌木给修剪好了。<br><i>5</i>. If you cut off some of the branches,the tree would not <em><em>bush</em></em> out.<br>如果你砍掉一些树枝的话，这棵树就不会枝杈丛生。<br><i>6</i>. There are many anecdotes about George Bush.<br>有很多关于布什的有趣的故事。<br>",yuhui
hidden,adj. 躲藏起來,adj.隐藏的；秘密的<br>动词hide的过去分词.<br><br><i>1</i>. He whistled to his friend to keep <em><em>hidden</em></em>.<br>他吹口哨通知朋友继续隐蔽。<br><i>2</i>. You must be alert to the <em><em>hidden</em></em> danger.<br>你必须对隐藏的危险保持警觉。<br><i>3</i>. The policeman frisked him for <em><em>hidden</em></em> weapons.<br>警察向他搜身，以确定有无隐藏武器。<br><i>4</i>. The soldiers were warned to remain <em><em>hidden</em></em> and not to expose themselves.<br>士兵们受到警告要隐藏好，不能暴露自己招致危险。<br>,yuhui
describe,敘述,vt.描述；说成；形容；画(尤指几何图形)<br><br><i>1</i>. The police asked me to <em><em>describe</em></em> exactly how it happened.<br>警察让我描述一下这事是怎样发生的。<br><i>2</i>. Words cannot <em><em>describe</em></em> the beauty of the scene.<br>语言难以描述那景色之美丽。<br><i>3</i>. He <em><em>describe</em></em>s himself as a doctor.<br>他自称是医生。<br><i>4</i>. No one could <em><em>describe</em></em> the scorn of her expression.<br>谁也无法形容她那股鄙夷万分的表情。<br>,yuhui
prison,n. 監牢,n.监狱；监禁<br>vt.囚禁；关入监狱<br><br><i>1</i>. The police crushed out the rebellion in the <em><em>prison</em></em>.<br>警察把发生在监狱中的暴乱镇压了下去。<br><i>2</i>. That felon tried to escape from the <em><em>prison</em></em>.<br>那名重罪犯试图从监狱中逃跑。<br><i>3</i>. His deliverance from the <em><em>prison</em></em> puzzled us.<br>他被从监狱释放使我们困惑不已。<br><i>4</i>. Strikes by <em><em>prison</em></em> officers underline the need for reform in our gaols.<br>监狱工作人员罢工一事，突出地表明我们的监狱制度需要改革。<br><i>5</i>. She continues to languish in a foreign <em><em>prison</em></em>.<br>她被继续囚禁在一所外国的监狱里。<br>,yuhui
jetty,n. 渡口,=pier,yuhui
millionaire,n. 百萬富翁,"n.百万富翁<br><br><i>1</i>. He spends as if he were a <em><em>millionaire</em></em>.<br>他用起钱来像个百万富翁似的。<br><i>2</i>. Now a <em><em>millionaire</em></em>, he typifies the self-made man.<br>他成了百万富翁，可以说是白手起家的典型。<br><i>3</i>. He is not poor, on the contrary, he is a <em><em>millionaire</em></em>.<br>他不穷，相反，他是个百万富翁。<br><i>4</i>. The library's latest acquisitions were donated by a <em><em>millionaire</em></em>.<br>图书馆最近增添的书籍是一位百万富翁捐献的。<br>",yuhui
fishing rod,n. 釣魚竿,"n.钓杆<br><br><i>1</i>. I'll go and get my rod and tackle box now.<br>我现在就去拿我的钓杆和钓具箱。<br><i>2</i>. The rod had never gotten wet,much less caught a fish,and the line was shiny from lack of use.<br>钓杆从未沾过水，更不用说钓鱼了。<br>",yuhui
yell,v. 喊 ,=shout,yuhui
humble,adj. 謙虛,"adj.谦逊的；粗陋的；卑下的；微末的<br>vt.使 ... 卑下；贬低<br><br><i>1</i>. Knowledge makes <em><em>humble</em></em>, ignorance makes proud.<br>博学使人谦逊，无知使人骄傲。<br><i>2</i>. The duke did well by people in <em><em>humble</em></em> stations.<br>那位公爵善待地位低下的人。<br><i>3</i>. The family lived in a <em><em>humble</em></em> cottage.<br>这户人家住在一所简陋的农舍里。<br><i>4</i>. You are welcome to my <em><em>humble</em></em> home.<br>非常欢迎您光临寒舍。<br><i>5</i>. She'll <em><em>humble</em></em> you to the dust.<br>她一定要把你糟蹋得一文不值。<br>",yuhui
hook,n. 鈎,n.钩；钩状物；勾拳<br>v.钩住；弯成(钩状)；当妓女<br><br><i>1</i>. Please hang your coat on the <em><em>hook</em></em>.<br>请把你的外衣挂在钩上。<br><i>2</i>. They took the phone off the <em><em>hook</em></em> so no calls would disturb them.<br>他们摘下电话听筒，以免电话打扰他们。<br><i>3</i>. He smote his match to the ground with a left <em><em>hook</em></em>.<br>他以一记左钩拳把对手击倒在地。<br><i>4</i>. Please <em><em>hook</em></em> the rope over the nail.<br>请把绳子挂在那根钉子上。<br>,yuhui
bait,n. 魚餌,"n.饵；引诱<br>v.以饵引诱；逗弄；中途休息<br><br><i>1</i>. The fish snapped at the <em><em>bait</em></em>.<br>那鱼一下子咬住了鱼饵。<br><i>2</i>. Earth worms are often used as <em><em>bait</em></em>.<br>蚯蚓常用作鱼饵。<br><i>3</i>. The steaming cake was a <em><em>bait</em></em> for the hungry boy.<br>那热气腾腾的蛋糕对这个饥饿的男孩是个诱惑。<br><i>4</i>. As soon as I mentioned money he rose to the <em><em>bait</em></em>, and became really interested.<br>我一提钱他便怦然心动，上了我的钩。<br><i>5</i>. They <em><em>bait</em></em> the mousetrap with stale cheese.<br>他们用变质的乳酪作捕鼠夹的诱饵。<br>",yuhui
before long,不久,"不久以后<br><br><i>1</i>. Before long he met a shepherd called Jethro.<br>不久以后他遇到了牧羊人叶忒罗。<br><i>2</i>. Before long, Herriot noticed that people in the country also had dogs as pets.<br>不久以后，赫里奥特注意到这里乡下的人们也把狗当作宠物。<br>",yuhui
spot,n. 地點,n.地点；场所；职位；污点；斑点；少量；聚光灯；插播节目<br>adj.现场的；现货的；插播的<br>v.（使）产生污渍；玷污；认出；用灯光照射<br><br><i>1</i>. This is the <em><em>spot</em></em> where the two trucks collided.<br>这儿就是两辆卡车相撞的地点。<br><i>2</i>. That was the common <em><em>spot</em></em> for settling affairs of honour.<br>那是他们通常决斗的场所。<br><i>3</i>. She found a <em><em>spot</em></em> as a secretary.<br>她找到一个秘书的职位。<br><i>4</i>. He flicked at <em><em>spot</em></em> with handkerchief.<br>他轻轻地用手帕拂拭污点。<br><i>5</i>. Several television stations gave <em><em>spot</em></em> coverage to the conference.<br>好几家电视台对大会作了现场报导。<br><i>6</i>. His boots were <em><em>spot</em></em>ted with mud.<br>他的靴子上沾有泥渍。<br>,yuhui
poles,竿,n.杆；柱；极点<br>v.(用杆)支撑<br>Pole.<br>n.波兰人<br><br><i>1</i>. Pole vaulters need long run-ups.<br>撑竿跳需要长距离助跑。<br><i>2</i>. The hut was made of <em><em>poles</em></em> covered with grass mats.<br>茅屋用木杆搭成，上面以草席覆盖。<br><i>3</i>. He had put up a basket on a pole in the back yard.<br>他在后院一根柱子上安一个球篮。<br><i>4</i>. When Scott reached the South Pole he found Amundsen had anticipated him.<br>当斯科特抵达南极的时候，发现阿蒙森比他到得更早。<br>,yuhui
dull,無趣,<br><br>,yuhui
yawn,v. 打呵欠,"v.打呵欠；张开<br>n.呵欠；<口>乏味的人（事）<br><br><i>1</i>. His long boring story made me <em><em>yawn</em></em>.<br>他的冗长的故事听得我直打呵欠。<br><i>2</i>. He closed the book, <em><em>yawn</em></em>ed, and went to bed.<br>他合起书, 打了个呵欠, 然后上床睡觉了。<br><i>3</i>. The deep crevasse <em><em>yawn</em></em>ed at their feet.<br>他们脚下的冰川有一道深深的裂缝。<br><i>4</i>. I gave a loud <em><em>yawn</em></em>, but he just kept on talking.<br>我大声打了个呵欠，可他还是不停地讲下去。<br>",yuhui
take a nap,午覺,小睡一下； 打盹<br><br><i>1</i>. I always <em><em>take a nap</em></em> after lunch.<br>午饭后我总是小睡一下。<br><i>2</i>. Do not sleep late or nap to make up for a bad night.<br>别在糟糕的一夜后再睡一会儿或小睡一下以补偿睡眠的不足。<br><i>3</i>. Dad is taking a snooze in the other room.<br>爸爸正在另外一间房间里打盹儿。<br><i>4</i>. I spent most of the afternoon taking a nap.<br>我下午的大部分时间都在打盹。<br>,yuhui
rude,粗魯,"adj.粗鲁无礼的；原始的；未加工的；粗糙的；猛烈的<br><br><i>1</i>. It's strange for her to be so <em><em>rude</em></em>.<br>真奇怪，她竟然会如此粗暴无礼。<br><i>2</i>. Don't be so <em><em>rude</em></em> to your parents!<br>别对你的父母这么没礼貌！<br><i>3</i>. It's very <em><em>rude</em></em> of her to leave without telling us.<br>她不向我们打声招呼就走了，这是非常不礼貌的。<br><i>4</i>. These <em><em>rude</em></em> tribesmen live in the rain forest.<br>这些原始部落人生活在雨林之中。<br>",yuhui
ashamed,adj. 羞耻,"adj.感到惭愧的；感到害臊的<br><br><i>1</i>. He is <em><em>ashamed</em></em> for his former dishonorable action.<br>他对他以前不光彩的行为感到羞愧。<br><i>2</i>. He was <em><em>ashamed</em></em> that he had lied.<br>他很惭愧他说了谎。<br><i>3</i>. As for you, you should feel <em><em>ashamed</em></em>.<br>至于你，你应该感到惭愧。<br><i>4</i>. He jumped up,looking a little <em><em>ashamed</em></em> of himself.<br>他跳了起来，显得有点惭愧。<br>",yuhui
adventure,n. 冒險,"n.冒险；奇遇<br>vt.冒险；尝试<br>vi.冒险；大胆进行<br><br><i>1</i>. To the well-organized mind, death is but the next great <em><em>adventure</em></em>.<br>中文的意思是,对于一个理性极其成熟的人来说,死亡仅仅是下一个伟大冒险。<br><i>2</i>. No matter how hard he tried, he couldn't persuade his friends to give up the <em><em>adventure</em></em>.<br>无论他怎么努力,都不能说服他的朋友们放弃冒险。<br><i>3</i>. He's sailed the seven seas in search of <em><em>adventure</em></em>.<br>他闯荡七大洋去历险。<br><i>4</i>. The man ventures his life in space exploration.<br>这个人冒着生命危险探索宇宙空间。<br><i>5</i>. It is foolish to haphazardly <em><em>adventure</em></em>.<br>随便冒险是愚蠢的。<br>",yuhui
railway station,n. 火車站,火车站<br><br><i>1</i>. The post office fronts the <em><em>railway station</em></em>.<br>邮局面对著火车站。<br><i>2</i>. At what time did you arrive at the station?<br>你是几点钟到火车站的？<br>,yuhui
custom checkpoint,關口,<br><br>,yuhui
coach,車廂,"n.教练；经济舱；(火车)客车车厢；四轮马车<br>v.指导；训练<br><br><i>1</i>. The football <em><em>coach</em></em> was criticized by the local paper.<br>这位足球教练受到了当地报纸的批评。<br><i>2</i>. The <em><em>coach</em></em> is bringing on some girls in the reserve team.<br>教练正教导预备队的女孩们练球。<br><i>3</i>. Only soft drinks are complimentary in <em><em>coach</em></em>.<br>在经济舱内,只有软性饮料是免费的。<br><i>4</i>. The <em><em>coach</em></em> was full so a relief was put on.<br>长途汽车已满员，所以增开了一辆。<br><i>5</i>. I am <em><em>coach</em></em>ing some people for English exams.<br>我为一些准备英语考试的人做辅导。<br>",yuhui
oil palm,油棕,n.油椰子<br><br>,yuhui
call,v. 呼叫,"vt.呼叫；打电话；把 ...称为<br>n.打电话；访问；召唤；呼叫；把 ... 看作<br>vi.呼叫；(短暂的)拜访<br><br><i>1</i>. The shouting boy did not hear his mother <em><em>call</em></em> him.<br>大声叫嚷的孩子听不到妈妈的叫唤。<br><i>2</i>. I'll <em><em>call</em></em> you if you give me a name card.<br>给我一张名片吧,我会打电话给你。<br><i>3</i>. Most people <em><em>call</em></em> me Bob. How do I address you?<br>大家叫我鲍勃,我怎么称呼你?<br><i>4</i>. Shortly after we arrived at that hotel, we made a <em><em>call</em></em> back home.<br>我们到达旅馆不久,就马上打电话回家。<br><i>5</i>. She <em><em>call</em></em>ed to her father for help.<br>她向她父亲喊叫求救。<br>",yuhui
mischievously,adv 頑皮地,adv.有害地；淘气地<br><br><i>1</i>. He <em><em>mischievously</em></em> looked for a chance to embarrass his sister.<br>他淘气地寻找机会让他的姐姐难堪。<br>,yuhui
mission,n. 任務,n.使命；代表团；任务；布道<br><br><i>1</i>. The minister was sent to Spain on <em><em>mission</em></em>.<br>这位部长奉命前往西班牙。<br><i>2</i>. My <em><em>mission</em></em> in life is to help poor people.<br>我的天职是帮助穷人。<br><i>3</i>. A Chinese trade <em><em>mission</em></em> has been dispatched to Japan.<br>一个中国贸易代表团已被派往日本。<br><i>4</i>. Her <em><em>mission</em></em> was to reclaim former criminals.<br>她的任务是感化过去的罪犯。<br>,yuhui
bodyguard,n. 保鑣,"n.警卫员；保卫人员；保镖<br><br><i>1</i>. The Premier's <em><em>bodyguard</em></em> was waiting there.<br>首相的护卫人员在那儿等着。<br><i>2</i>. The big guystanding at his side may be his <em><em>bodyguard</em></em>.<br>站在他身旁的那个大个子可能是他的保镖。<br><i>3</i>. His <em><em>bodyguard</em></em> leapt into action.<br>他的保镖立即采取行动。<br><i>4</i>. The big guy standing at his side may be his <em><em>bodyguard</em></em>.<br>站在他身旁的那个大个子可能是他的保镖。<br>",yuhui
